,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
19,ma,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,81.8030396,0.4806617,6443.0165,state,fb-survey
20,md,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,78.1016746,0.5714714,5236.9965,state,fb-survey
21,me,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,76.7039429,0.8646714,2390.0,state,fb-survey
22,mi,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,70.637931,0.3982667,13076.053,state,fb-survey
23,mn,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,77.4901883,0.5814273,5159.7383,state,fb-survey
24,mo,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,67.4098652,0.6014513,6073.0751,state,fb-survey
25,ms,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,58.2353857,0.8658374,3244.3129,state,fb-survey
26,mt,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,67.2386479,1.1729332,1601.1581,state,fb-survey
27,nc,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,67.3920738,0.4259141,12114.0124,state,fb-survey
28,nd,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,66.5224807,1.6571324,810.9747,state,fb-survey
29,ne,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,72.092421,0.9424878,2264.9589,state,fb-survey
30,nh,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,78.3243349,0.8810695,2187.0,state,fb-survey
31,nj,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,75.5049641,0.5010165,7367.9975,state,fb-survey
32,nm,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,73.9946272,0.9221043,2263.0972,state,fb-survey
33,nv,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,71.6151249,0.8994593,2512.6312,state,fb-survey
34,ny,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,74.2466784,0.3400683,16534.0026,state,fb-survey
35,oh,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,67.1505436,0.4035071,13548.006,state,fb-survey
36,ok,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,65.5188052,0.6644158,5117.6247,state,fb-survey
37,or,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,74.1958117,0.6178844,5014.8177,state,fb-survey
38,pa,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,70.6201783,0.3748626,14765.0093,state,fb-survey
39,ri,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,79.7098871,1.0814086,1382.9835,state,fb-survey
40,sc,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,63.1525979,0.5728556,7091.0052,state,fb-survey
41,sd,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,70.0658622,1.346604,1156.6273,state,fb-survey
42,tn,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,65.4295968,0.5412859,7720.1416,state,fb-survey
43,tx,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,69.4255303,0.2996922,23633.4552,state,fb-survey
44,ut,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,73.3945113,0.7707587,3286.9864,state,fb-survey
45,va,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,72.4990926,0.461733,9351.8568,state,fb-survey
46,vt,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,81.0205639,1.1823407,1100.0015,state,fb-survey
47,wa,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,77.8017822,0.4519686,8454.564,state,fb-survey
48,wi,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,74.4702804,0.5498702,6287.9445,state,fb-survey
49,wv,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,66.2847477,0.8570952,3042.1587,state,fb-survey
50,wy,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,57.4791295,1.7635909,785.8083,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,66.1010995,1.5246095,964.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,60.4865099,0.6904735,5013.1413,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,66.1067822,0.8000233,3500.6891,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,72.1383445,0.5461147,6739.1548,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,77.1414731,0.241564,30218.4074,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,77.3830901,0.544056,5912.7845,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,79.8515613,0.5785895,4806.0,state,fb-survey
7,dc,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,88.2250208,1.5177061,451.0,state,fb-survey
8,de,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,72.9839379,1.1430862,1509.0073,state,fb-survey
9,fl,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,68.7268007,0.3249638,20353.0021,state,fb-survey
10,ga,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,62.2444584,0.556336,7592.8888,state,fb-survey
11,hi,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,75.4196406,1.2707655,1148.0,state,fb-survey
12,ia,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,71.2582568,0.688205,4324.2685,state,fb-survey
13,id,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,67.1131944,0.9858624,2270.8947,state,fb-survey
14,il,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,72.758791,0.3830682,13507.0212,state,fb-survey
15,in,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,65.8257486,0.5532275,7350.0006,state,fb-survey
16,ks,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,69.7750102,0.7750462,3510.8388,state,fb-survey
17,ky,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,67.1452905,0.6719432,4885.9394,state,fb-survey
18,la,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,60.074537,0.696772,4940.3653,state,fb-survey
19,ma,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,81.6010544,0.4867454,6337.0175,state,fb-survey
20,md,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,78.0848793,0.5768858,5141.9893,state,fb-survey
21,me,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,76.9417202,0.8608596,2394.0,state,fb-survey
22,mi,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,70.6387202,0.4023459,12812.0531,state,fb-survey
23,mn,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,77.2096079,0.587499,5098.1069,state,fb-survey
24,mo,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,67.6810883,0.6033851,6008.0692,state,fb-survey
25,ms,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,59.0652461,0.8674636,3213.0813,state,fb-survey
26,mt,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,67.849907,1.1586033,1625.0323,state,fb-survey
27,nc,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,67.2268745,0.4279898,12028.0118,state,fb-survey
28,nd,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,67.2272404,1.6637535,795.94,state,fb-survey
29,ne,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,73.2170768,0.9342213,2246.833,state,fb-survey
30,nh,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,79.0321053,0.870273,2188.0,state,fb-survey
31,nj,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,75.616214,0.5048924,7232.9977,state,fb-survey
32,nm,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,73.9569658,0.9369153,2194.1685,state,fb-survey
33,nv,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,72.4489967,0.8950744,2491.4464,state,fb-survey
34,ny,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,74.5666318,0.3406291,16345.0025,state,fb-survey
35,oh,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,66.9074698,0.4078466,13311.0054,state,fb-survey
36,ok,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,65.9717996,0.6653735,5070.6816,state,fb-survey
37,or,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,74.3115152,0.6206933,4954.964,state,fb-survey
38,pa,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,70.9514433,0.3782169,14408.0092,state,fb-survey
39,ri,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,78.5384532,1.1100216,1367.9825,state,fb-survey
40,sc,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,63.4607123,0.5723703,7078.005,state,fb-survey
41,sd,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,69.9112962,1.3371359,1176.5211,state,fb-survey
42,tn,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,65.6953308,0.5462747,7552.0634,state,fb-survey
43,tx,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,69.4125845,0.300773,23469.4745,state,fb-survey
44,ut,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,73.4199723,0.7699387,3291.9816,state,fb-survey
45,va,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,72.5676152,0.4617029,9338.5884,state,fb-survey
46,vt,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,81.177018,1.1764566,1104.0015,state,fb-survey
47,wa,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,77.9794163,0.455298,8283.5659,state,fb-survey
48,wi,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,73.8754634,0.5550735,6263.9438,state,fb-survey
49,wv,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,66.7926436,0.862704,2980.1581,state,fb-survey
50,wy,smoothed_wcovid_vaccinated_or_accept,2021-01-06,2021-01-29,23,59.0708042,1.774539,767.7768,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,67.7549664,1.518091,948.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,60.2385472,0.6936428,4978.1157,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,65.3997367,0.8076899,3468.6947,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,72.0939985,0.5485083,6686.9856,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,77.2977354,0.2423158,29886.3228,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,77.3838277,0.5480349,5827.105,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,79.8269744,0.5807292,4775.0,state,fb-survey
7,dc,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,88.2269409,1.4978033,463.0,state,fb-survey
8,de,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,72.5050911,1.180292,1431.0073,state,fb-survey
9,fl,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,68.8952084,0.3264472,20109.0018,state,fb-survey
10,ga,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,62.6348266,0.5575022,7529.9099,state,fb-survey
11,hi,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,73.6858533,1.2912099,1163.0,state,fb-survey
12,ia,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,71.6886255,0.689417,4270.1903,state,fb-survey
13,id,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,66.6160183,0.9991267,2227.7973,state,fb-survey
14,il,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,73.1507581,0.3837623,13336.0219,state,fb-survey
15,in,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,65.964813,0.5577916,7216.0007,state,fb-survey
16,ks,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,70.4230004,0.7708879,3504.9856,state,fb-survey
17,ky,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,67.3361094,0.6804051,4750.9535,state,fb-survey
18,la,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,60.5938408,0.6996867,4877.3664,state,fb-survey
19,ma,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,81.6177959,0.4902626,6242.0165,state,fb-survey
20,md,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,77.7272121,0.5828537,5095.9892,state,fb-survey
21,me,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,76.2746545,0.8765989,2355.0,state,fb-survey
22,mi,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,70.471212,0.4060514,12621.0431,state,fb-survey
23,mn,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,77.0282787,0.5918671,5051.2093,state,fb-survey
24,mo,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,67.8618543,0.6085554,5889.0634,state,fb-survey
25,ms,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,58.4142846,0.874158,3178.9478,state,fb-survey
26,mt,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,68.388191,1.1579653,1612.2759,state,fb-survey
27,nc,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,67.723948,0.4311292,11760.0112,state,fb-survey
28,nd,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,67.6218254,1.6567971,797.6284,state,fb-survey
29,ne,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,73.2077188,0.94236,2208.6805,state,fb-survey
30,nh,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,78.471619,0.8914159,2126.0,state,fb-survey
31,nj,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,75.9213936,0.5075285,7096.9976,state,fb-survey
32,nm,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,73.3469471,0.9472861,2178.5458,state,fb-survey
33,nv,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,73.1873881,0.888185,2487.531,state,fb-survey
34,ny,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,74.4907935,0.3431322,16139.0023,state,fb-survey
35,oh,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,67.0992968,0.4115816,13032.0071,state,fb-survey
36,ok,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,66.1328784,0.6685397,5011.1952,state,fb-survey
37,or,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,74.6850279,0.6238408,4858.0668,state,fb-survey
38,pa,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,70.3957549,0.3842327,14116.0087,state,fb-survey
39,ri,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,78.8141816,1.11132,1351.9835,state,fb-survey
40,sc,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,64.0122888,0.5766815,6927.005,state,fb-survey
41,sd,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,69.5883756,1.3486399,1163.548,state,fb-survey
42,tn,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,65.9550077,0.5471652,7500.0487,state,fb-survey
43,tx,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,69.9353187,0.3019261,23064.9074,state,fb-survey
44,ut,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,73.6866025,0.7710004,3261.7921,state,fb-survey
45,va,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,72.7034247,0.4646167,9193.341,state,fb-survey
46,vt,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,81.9576585,1.1658064,1088.0016,state,fb-survey
47,wa,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,78.1268462,0.4580875,8143.569,state,fb-survey
48,wi,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,73.7648859,0.5615977,6135.9516,state,fb-survey
49,wv,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,67.1415636,0.8637304,2957.2082,state,fb-survey
50,wy,smoothed_wcovid_vaccinated_or_accept,2021-01-07,2021-01-29,22,59.3495943,1.7953286,748.5051,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2021-01-08,2021-01-29,21,68.0355016,1.5291858,930.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2021-01-08,2021-01-29,21,60.5923465,0.6953742,4938.1145,state,fb-survey
