,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
16,ky,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,64.0308773,1.9858887,583.9955,state,fb-survey
17,la,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,59.7976963,2.0271688,584.9996,state,fb-survey
18,ma,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,77.801326,1.5225741,745.0015,state,fb-survey
19,md,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,77.3872485,1.7475685,572.9997,state,fb-survey
20,me,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,71.7910611,2.6290252,293.0,state,fb-survey
21,mi,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,67.6218654,1.1820482,1566.9986,state,fb-survey
22,mn,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,76.4999934,1.6880289,630.9132,state,fb-survey
23,mo,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,65.1837701,1.8321593,676.0748,state,fb-survey
24,ms,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,56.6385707,2.5655049,373.1386,state,fb-survey
25,mt,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,66.3682608,3.2449917,211.974,state,fb-survey
26,nc,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,63.7847162,1.3335196,1299.0016,state,fb-survey
27,nd,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,53.8312581,4.7907458,108.287,state,fb-survey
28,ne,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,77.2616329,2.3887709,307.8748,state,fb-survey
29,nh,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,74.7749033,2.6729595,264.0,state,fb-survey
30,nj,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,73.2559284,1.4514224,929.9994,state,fb-survey
31,nm,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,73.0773344,2.7149176,266.9239,state,fb-survey
32,nv,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,65.5551861,2.7531784,297.8943,state,fb-survey
33,ny,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,70.8156105,1.0546708,1858.0004,state,fb-survey
34,oh,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,65.8531685,1.1814523,1610.997,state,fb-survey
35,ok,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,62.0461808,2.0397518,565.9993,state,fb-survey
36,or,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,70.8440672,1.8121225,629.0068,state,fb-survey
37,pa,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,66.3139712,1.1164989,1792.001,state,fb-survey
38,ri,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,74.000053,3.3942667,166.9985,state,fb-survey
39,sc,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,61.0679622,1.7260716,798.0001,state,fb-survey
40,sd,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,67.7069079,3.7558926,154.9945,state,fb-survey
41,tn,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,62.0736565,1.600535,919.0052,state,fb-survey
42,tx,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,65.8518704,0.9370485,2561.0076,state,fb-survey
43,ut,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,75.7948884,2.1575982,394.0995,state,fb-survey
44,va,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,67.0917816,1.4465918,1055.0711,state,fb-survey
45,vt,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,73.6281086,3.9256088,126.0001,state,fb-survey
46,wa,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,75.3543547,1.3989207,948.9916,state,fb-survey
47,wi,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,67.3775969,1.7293058,735.0009,state,fb-survey
48,wv,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,68.3201744,2.568787,328.0013,state,fb-survey
49,wy,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,48.0429272,4.8302762,106.9868,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,67.1605474,3.1033969,229.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,62.69265,1.4444354,1121.0236,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,60.7013148,1.7129489,812.9939,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,66.8653857,1.2164803,1497.1769,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,74.4778353,0.5148481,7171.1087,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,72.7175298,1.2007494,1375.9988,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,78.0047099,1.2130424,1166.0,state,fb-survey
7,de,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,73.0519869,2.4314048,333.0,state,fb-survey
8,fl,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,64.8017711,0.6999935,4655.0001,state,fb-survey
9,ga,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,56.9599691,1.2119772,1668.9889,state,fb-survey
10,hi,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,73.1051058,2.832864,245.0,state,fb-survey
11,ia,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,66.6901642,1.4803174,1013.7353,state,fb-survey
12,id,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,62.5917719,2.1280822,517.0203,state,fb-survey
13,il,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,69.135981,0.8642177,2857.0004,state,fb-survey
14,in,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,65.4476834,1.1439662,1728.0052,state,fb-survey
15,ks,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,64.6198539,1.6596491,830.0286,state,fb-survey
16,ky,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,64.2683264,1.4007559,1170.3761,state,fb-survey
17,la,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,58.6172698,1.4802965,1106.9992,state,fb-survey
18,ma,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,78.1914927,1.0619801,1512.003,state,fb-survey
19,md,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,74.9508797,1.2793903,1146.9992,state,fb-survey
20,me,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,70.9371862,1.8598704,596.0,state,fb-survey
21,mi,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,67.1866693,0.847418,3069.9975,state,fb-survey
22,mn,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,76.3021998,1.2179215,1219.0079,state,fb-survey
23,mo,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,66.6705103,1.2602252,1399.156,state,fb-survey
24,ms,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,57.9431159,1.818271,737.092,state,fb-survey
25,mt,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,67.4946335,2.3428611,399.6973,state,fb-survey
26,nc,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,63.8234316,0.952488,2545.0039,state,fb-survey
27,nd,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,59.288787,3.4864332,198.5747,state,fb-survey
28,ne,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,73.4724893,1.8366567,577.7837,state,fb-survey
29,nh,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,74.2723231,1.9588407,498.0,state,fb-survey
30,nj,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,73.8349572,1.058886,1722.9991,state,fb-survey
31,nm,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,69.8751348,2.0069022,522.6312,state,fb-survey
32,nv,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,66.0974644,1.9540228,586.8914,state,fb-survey
33,ny,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,70.2235562,0.7571988,3647.0007,state,fb-survey
34,oh,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,64.5634079,0.8424071,3223.9953,state,fb-survey
35,ok,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,62.3838155,1.4359938,1137.9981,state,fb-survey
36,or,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,70.8743469,1.2970539,1227.0116,state,fb-survey
37,pa,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,67.3835315,0.7897275,3524.0021,state,fb-survey
38,ri,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,72.2542533,2.5430282,309.997,state,fb-survey
39,sc,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,61.7556678,1.2340024,1551.0003,state,fb-survey
40,sd,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,69.6464104,2.713988,287.0073,state,fb-survey
41,tn,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,61.291913,1.133171,1847.6257,state,fb-survey
42,tx,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,65.9888666,0.6616925,5126.0083,state,fb-survey
43,ut,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,74.3242066,1.5679801,776.199,state,fb-survey
44,va,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,69.4475359,0.9919706,2156.2815,state,fb-survey
45,vt,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,70.9794572,2.798602,263.0001,state,fb-survey
46,wa,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,75.4462283,0.9876816,1898.9864,state,fb-survey
47,wi,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,67.0668966,1.1979834,1539.0022,state,fb-survey
48,wv,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,66.6786723,1.7815157,700.0514,state,fb-survey
49,wy,smoothed_wcovid_vaccinated_or_accept,2020-12-21,2020-12-23,2,51.0137913,3.3936696,216.9813,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,66.5009825,2.586473,333.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,61.0365965,1.1954804,1664.0342,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,61.1236343,1.4141646,1188.2147,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,68.0050473,0.9933936,2204.8542,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,74.3256103,0.4231945,10655.1242,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,73.3049078,0.9739413,2062.9987,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,77.3820797,1.0108061,1713.0,state,fb-survey
7,dc,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,84.5097682,3.0256201,143.0,state,fb-survey
8,de,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,71.0053119,2.0951649,469.0,state,fb-survey
9,fl,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,65.0871066,0.5745396,6884.0002,state,fb-survey
10,ga,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,58.4564147,1.003625,2410.9778,state,fb-survey
11,hi,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,73.9746476,2.3691508,343.0,state,fb-survey
12,ia,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,66.5985007,1.2281741,1474.7232,state,fb-survey
13,id,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,62.6608166,1.691212,818.0216,state,fb-survey
14,il,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,69.5791523,0.7094833,4205.0005,state,fb-survey
15,in,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,65.2986411,0.9292722,2624.0052,state,fb-survey
16,ks,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,65.3007037,1.3639257,1218.0276,state,fb-survey
17,ky,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,63.6488011,1.150041,1749.3725,state,fb-survey
18,la,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,56.6149614,1.2234366,1640.9987,state,fb-survey
19,ma,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,78.2958817,0.8706075,2242.0035,state,fb-survey
20,md,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,74.7465405,1.0584155,1684.9987,state,fb-survey
21,me,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,70.4288025,1.5534748,863.0,state,fb-survey
22,mi,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,67.4914826,0.6901782,4605.9967,state,fb-survey
23,mn,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,75.0602026,1.0078441,1842.9601,state,fb-survey
24,mo,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,66.356556,1.0352713,2082.9362,state,fb-survey
25,ms,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,56.8344963,1.4940168,1099.1017,state,fb-survey
26,mt,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,65.6061807,1.9695618,581.6824,state,fb-survey
27,nc,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,64.069699,0.7782291,3801.0061,state,fb-survey
28,nd,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,58.0613442,2.8320952,303.5889,state,fb-survey
29,ne,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,73.380384,1.5251267,839.7885,state,fb-survey
30,nh,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,75.3910166,1.5876974,736.0,state,fb-survey
31,nj,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,73.6662675,0.8672913,2578.9987,state,fb-survey
32,nm,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,69.996205,1.6233646,796.927,state,fb-survey
33,nv,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,67.8739391,1.5887464,863.8759,state,fb-survey
34,ny,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,70.4806923,0.623724,5348.001,state,fb-survey
35,oh,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,65.0693968,0.693644,4723.9966,state,fb-survey
36,ok,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,62.7538202,1.1698153,1707.9978,state,fb-survey
37,or,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,71.361843,1.0682094,1791.0112,state,fb-survey
38,pa,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,67.5079878,0.6498525,5194.0028,state,fb-survey
39,ri,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,73.4704754,2.0652124,456.9965,state,fb-survey
40,sc,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,61.4582599,1.0132858,2307.0005,state,fb-survey
41,sd,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,68.1707171,2.2567119,426.0617,state,fb-survey
42,tn,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,61.9430321,0.9184424,2794.6204,state,fb-survey
43,tx,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,66.7067233,0.5375403,7686.0666,state,fb-survey
44,ut,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,72.3166965,1.3158833,1156.1702,state,fb-survey
45,va,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,70.1635632,0.8057549,3224.4276,state,fb-survey
46,vt,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,73.4478186,2.2744097,377.0003,state,fb-survey
47,wa,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,75.7062908,0.8063017,2828.9853,state,fb-survey
48,wi,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,67.464911,0.9781782,2294.0032,state,fb-survey
49,wv,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,66.3266055,1.4494388,1063.1019,state,fb-survey
50,wy,smoothed_wcovid_vaccinated_or_accept,2020-12-22,2020-12-24,2,55.6279996,2.9175446,289.9796,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,65.2400189,2.2227492,459.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,60.1639742,1.0477903,2183.0503,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,62.4338426,1.2136805,1592.2385,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,69.6476961,0.8470442,2946.3629,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,74.3929039,0.3678645,14077.1904,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,73.3341856,0.8440337,2744.996,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,76.9662252,0.8847051,2265.0,state,fb-survey
7,dc,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,81.2530456,2.773656,198.0,state,fb-survey
8,de,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,72.2804927,1.7791045,633.0,state,fb-survey
9,fl,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,65.7892848,0.4985015,9057.0004,state,fb-survey
10,ga,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,59.0142689,0.8710388,3187.9734,state,fb-survey
11,hi,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,73.5589783,2.0540287,461.0,state,fb-survey
12,ia,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,67.5401453,1.0609994,1947.5036,state,fb-survey
13,id,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,63.4726704,1.4754446,1065.0227,state,fb-survey
14,il,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,69.7169288,0.6094544,5684.0226,state,fb-survey
15,in,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,65.8399576,0.8077613,3447.0049,state,fb-survey
16,ks,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,66.3433668,1.1732888,1622.0278,state,fb-survey
17,ky,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,65.3251546,0.9906589,2308.0577,state,fb-survey
18,la,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,57.2360296,1.0593661,2180.9984,state,fb-survey
19,ma,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,78.7114154,0.7581806,2915.0045,state,fb-survey
20,md,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,74.8151126,0.9177657,2236.9985,state,fb-survey
21,me,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,71.1305027,1.3528546,1122.0,state,fb-survey
22,mi,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,68.2115621,0.596062,6103.0137,state,fb-survey
23,mn,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,75.9861625,0.8662061,2431.9441,state,fb-survey
24,mo,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,65.8546814,0.898225,2787.0679,state,fb-survey
25,ms,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,57.4532746,1.2929643,1462.2037,state,fb-survey
26,mt,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,65.2931806,1.7214725,764.6848,state,fb-survey
27,nc,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,64.2804037,0.6726269,5075.0079,state,fb-survey
28,nd,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,60.1359925,2.416447,410.5451,state,fb-survey
29,ne,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,72.9474369,1.3481406,1085.7956,state,fb-survey
30,nh,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,75.5677064,1.3760935,975.0,state,fb-survey
31,nj,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,74.0608888,0.7553541,3366.9982,state,fb-survey
32,nm,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,69.8923278,1.4094169,1059.3214,state,fb-survey
33,nv,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,66.7073489,1.3873148,1153.9102,state,fb-survey
34,ny,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,71.149425,0.5368988,7121.0012,state,fb-survey
35,oh,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,64.8567201,0.6022553,6283.9968,state,fb-survey
36,ok,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,62.1604395,1.0231251,2246.9978,state,fb-survey
37,or,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,71.0875087,0.9383985,2334.018,state,fb-survey
38,pa,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,67.784961,0.564201,6860.0033,state,fb-survey
39,ri,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,75.4299149,1.733142,616.9955,state,fb-survey
40,sc,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,61.41038,0.8853949,3023.0006,state,fb-survey
41,sd,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,68.3240447,1.9638426,561.1642,state,fb-survey
42,tn,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,62.0416475,0.7984567,3693.9239,state,fb-survey
43,tx,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,66.9247646,0.4652776,10225.0497,state,fb-survey
44,ut,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,71.5535169,1.1598069,1513.1716,state,fb-survey
45,va,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,71.0722782,0.6932413,4278.0472,state,fb-survey
46,vt,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,74.828868,1.999748,471.0005,state,fb-survey
47,wa,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,76.1839013,0.6994228,3708.9776,state,fb-survey
48,wi,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,68.0744319,0.8456623,3038.9865,state,fb-survey
49,wv,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,66.7376013,1.271946,1372.1032,state,fb-survey
50,wy,smoothed_wcovid_vaccinated_or_accept,2020-12-23,2020-12-25,2,55.0595099,2.5385049,383.9849,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2020-12-24,2020-12-26,2,65.1082693,2.0105329,562.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2020-12-24,2020-12-26,2,60.6130662,0.9371937,2718.0642,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2020-12-24,2020-12-26,2,62.3440046,1.089371,1978.2321,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2020-12-24,2020-12-26,2,69.1593471,0.7652364,3642.3629,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2020-12-24,2020-12-26,2,74.9038988,0.3296894,17294.2098,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2020-12-24,2020-12-26,2,73.9379309,0.7501904,3423.9955,state,fb-survey
