FIPStxt,Stabr,Area_name,Attribute,Value
1023,AL,Choctaw County,CI90LB017P_2019,21.4
1023,AL,Choctaw County,CI90UB017P_2019,39.4
1023,AL,Choctaw County,POV517_2019,508
1023,AL,Choctaw County,CI90LB517_2019,339
1023,AL,Choctaw County,CI90UB517_2019,677
1023,AL,Choctaw County,PCTPOV517_2019,28.3
1023,AL,Choctaw County,CI90LB517P_2019,18.9
1023,AL,Choctaw County,CI90UB517P_2019,37.7
1023,AL,Choctaw County,MEDHHINC_2019,39808
1023,AL,Choctaw County,CI90LBINC_2019,35765
1023,AL,Choctaw County,CI90UBINC_2019,43851
1025,AL,Clarke County,Rural-urban_Continuum_Code_2003,7
1025,AL,Clarke County,Urban_Influence_Code_2003,11
1025,AL,Clarke County,Rural-urban_Continuum_Code_2013,7
1025,AL,Clarke County,Urban_Influence_Code_2013,11
1025,AL,Clarke County,POVALL_2019,4281
1025,AL,Clarke County,CI90LBALL_2019,3147
1025,AL,Clarke County,CI90UBALL_2019,5415
1025,AL,Clarke County,PCTPOVALL_2019,18.4
1025,AL,Clarke County,CI90LBALLP_2019,13.5
1025,AL,Clarke County,CI90UBALLP_2019,23.3
1025,AL,Clarke County,POV017_2019,1425
1025,AL,Clarke County,CI90LB017_2019,946
1025,AL,Clarke County,CI90UB017_2019,1904
1025,AL,Clarke County,PCTPOV017_2019,28.6
1025,AL,Clarke County,CI90LB017P_2019,19
1025,AL,Clarke County,CI90UB017P_2019,38.2
1025,AL,Clarke County,POV517_2019,1014
1025,AL,Clarke County,CI90LB517_2019,648
1025,AL,Clarke County,CI90UB517_2019,1380
1025,AL,Clarke County,PCTPOV517_2019,27.9
1025,AL,Clarke County,CI90LB517P_2019,17.8
1025,AL,Clarke County,CI90UB517P_2019,38
1025,AL,Clarke County,MEDHHINC_2019,43822
1025,AL,Clarke County,CI90LBINC_2019,38855
1025,AL,Clarke County,CI90UBINC_2019,48789
1027,AL,Clay County,Rural-urban_Continuum_Code_2003,9
1027,AL,Clay County,Urban_Influence_Code_2003,10
1027,AL,Clay County,Rural-urban_Continuum_Code_2013,9
1027,AL,Clay County,Urban_Influence_Code_2013,10
1027,AL,Clay County,POVALL_2019,2156
1027,AL,Clay County,CI90LBALL_2019,1695
1027,AL,Clay County,CI90UBALL_2019,2617
1027,AL,Clay County,PCTPOVALL_2019,16.6
1027,AL,Clay County,CI90LBALLP_2019,13
1027,AL,Clay County,CI90UBALLP_2019,20.2
1027,AL,Clay County,POV017_2019,685
1027,AL,Clay County,CI90LB017_2019,513
1027,AL,Clay County,CI90UB017_2019,857
1027,AL,Clay County,PCTPOV017_2019,26
1027,AL,Clay County,CI90LB017P_2019,19.4
1027,AL,Clay County,CI90UB017P_2019,32.6
1027,AL,Clay County,POV517_2019,433
1027,AL,Clay County,CI90LB517_2019,289
1027,AL,Clay County,CI90UB517_2019,577
1027,AL,Clay County,PCTPOV517_2019,22.3
1027,AL,Clay County,CI90LB517P_2019,14.9
1027,AL,Clay County,CI90UB517P_2019,29.7
1027,AL,Clay County,MEDHHINC_2019,40562
1027,AL,Clay County,CI90LBINC_2019,36713
1027,AL,Clay County,CI90UBINC_2019,44411
1029,AL,Cleburne County,Rural-urban_Continuum_Code_2003,8
1029,AL,Cleburne County,Urban_Influence_Code_2003,4
1029,AL,Cleburne County,Rural-urban_Continuum_Code_2013,8
1029,AL,Cleburne County,Urban_Influence_Code_2013,4
1029,AL,Cleburne County,POVALL_2019,1945
1029,AL,Cleburne County,CI90LBALL_2019,1427
1029,AL,Cleburne County,CI90UBALL_2019,2463
1029,AL,Cleburne County,PCTPOVALL_2019,13.3
1029,AL,Cleburne County,CI90LBALLP_2019,9.8
1029,AL,Cleburne County,CI90UBALLP_2019,16.8
1029,AL,Cleburne County,POV017_2019,591
1029,AL,Cleburne County,CI90LB017_2019,388
1029,AL,Cleburne County,CI90UB017_2019,794
1029,AL,Cleburne County,PCTPOV017_2019,17.9
1029,AL,Cleburne County,CI90LB017P_2019,11.7
1029,AL,Cleburne County,CI90UB017P_2019,24.1
1029,AL,Cleburne County,POV517_2019,427
1029,AL,Cleburne County,CI90LB517_2019,269
1029,AL,Cleburne County,CI90UB517_2019,585
1029,AL,Cleburne County,PCTPOV517_2019,17.7
1029,AL,Cleburne County,CI90LB517P_2019,11.1
1029,AL,Cleburne County,CI90UB517P_2019,24.3
1029,AL,Cleburne County,MEDHHINC_2019,51276
1029,AL,Cleburne County,CI90LBINC_2019,45401
1029,AL,Cleburne County,CI90UBINC_2019,57151
1031,AL,Coffee County,Rural-urban_Continuum_Code_2003,6
1031,AL,Coffee County,Urban_Influence_Code_2003,5
1031,AL,Coffee County,Rural-urban_Continuum_Code_2013,4
1031,AL,Coffee County,Urban_Influence_Code_2013,5
1031,AL,Coffee County,POVALL_2019,7734
1031,AL,Coffee County,CI90LBALL_2019,6535
1031,AL,Coffee County,CI90UBALL_2019,8933
1031,AL,Coffee County,PCTPOVALL_2019,15
1031,AL,Coffee County,CI90LBALLP_2019,12.7
1031,AL,Coffee County,CI90UBALLP_2019,17.3
1031,AL,Coffee County,POV017_2019,2664
1031,AL,Coffee County,CI90LB017_2019,2076
1031,AL,Coffee County,CI90UB017_2019,3252
1031,AL,Coffee County,PCTPOV017_2019,21.8
1031,AL,Coffee County,CI90LB017P_2019,17
1031,AL,Coffee County,CI90UB017P_2019,26.6
1031,AL,Coffee County,POV517_2019,1927
1031,AL,Coffee County,CI90LB517_2019,1471
1031,AL,Coffee County,CI90UB517_2019,2383
1031,AL,Coffee County,PCTPOV517_2019,21.3
1031,AL,Coffee County,CI90LB517P_2019,16.3
1031,AL,Coffee County,CI90UB517P_2019,26.3
1031,AL,Coffee County,MEDHHINC_2019,57299
1031,AL,Coffee County,CI90LBINC_2019,52523
1031,AL,Coffee County,CI90UBINC_2019,62075
1033,AL,Colbert County,Rural-urban_Continuum_Code_2003,3
1033,AL,Colbert County,Urban_Influence_Code_2003,2
1033,AL,Colbert County,Rural-urban_Continuum_Code_2013,3
1033,AL,Colbert County,Urban_Influence_Code_2013,2
1033,AL,Colbert County,POVALL_2019,7998
1033,AL,Colbert County,CI90LBALL_2019,6399
1033,AL,Colbert County,CI90UBALL_2019,9597
1033,AL,Colbert County,PCTPOVALL_2019,14.6
1033,AL,Colbert County,CI90LBALLP_2019,11.7
1033,AL,Colbert County,CI90UBALLP_2019,17.5
1033,AL,Colbert County,POV017_2019,2204
1033,AL,Colbert County,CI90LB017_2019,1539
1033,AL,Colbert County,CI90UB017_2019,2869
1033,AL,Colbert County,PCTPOV017_2019,19.4
1033,AL,Colbert County,CI90LB017P_2019,13.5
1033,AL,Colbert County,CI90UB017P_2019,25.3
1033,AL,Colbert County,POV517_2019,1537
1033,AL,Colbert County,CI90LB517_2019,1017
1033,AL,Colbert County,CI90UB517_2019,2057
1033,AL,Colbert County,PCTPOV517_2019,18.6
1033,AL,Colbert County,CI90LB517P_2019,12.3
1033,AL,Colbert County,CI90UB517P_2019,24.9
1033,AL,Colbert County,MEDHHINC_2019,46683
1033,AL,Colbert County,CI90LBINC_2019,42507
1033,AL,Colbert County,CI90UBINC_2019,50859
1035,AL,Conecuh County,Rural-urban_Continuum_Code_2003,9
1035,AL,Conecuh County,Urban_Influence_Code_2003,11
1035,AL,Conecuh County,Rural-urban_Continuum_Code_2013,7
1035,AL,Conecuh County,Urban_Influence_Code_2013,11
1035,AL,Conecuh County,POVALL_2019,2662
1035,AL,Conecuh County,CI90LBALL_2019,1972
1035,AL,Conecuh County,CI90UBALL_2019,3352
1035,AL,Conecuh County,PCTPOVALL_2019,22.2
1035,AL,Conecuh County,CI90LBALLP_2019,16.4
1035,AL,Conecuh County,CI90UBALLP_2019,28
1035,AL,Conecuh County,POV017_2019,845
1035,AL,Conecuh County,CI90LB017_2019,570
1035,AL,Conecuh County,CI90UB017_2019,1120
1035,AL,Conecuh County,PCTPOV017_2019,34.7
1035,AL,Conecuh County,CI90LB017P_2019,23.4
1035,AL,Conecuh County,CI90UB017P_2019,46
1035,AL,Conecuh County,POV517_2019,597
1035,AL,Conecuh County,CI90LB517_2019,385
1035,AL,Conecuh County,CI90UB517_2019,809
1035,AL,Conecuh County,PCTPOV517_2019,33
1035,AL,Conecuh County,CI90LB517P_2019,21.3
1035,AL,Conecuh County,CI90UB517P_2019,44.7
1035,AL,Conecuh County,MEDHHINC_2019,41539
1035,AL,Conecuh County,CI90LBINC_2019,38793
1035,AL,Conecuh County,CI90UBINC_2019,44285
1037,AL,Coosa County,Rural-urban_Continuum_Code_2003,8
1037,AL,Coosa County,Urban_Influence_Code_2003,7
1037,AL,Coosa County,Rural-urban_Continuum_Code_2013,8
1037,AL,Coosa County,Urban_Influence_Code_2013,3
1037,AL,Coosa County,POVALL_2019,1789
1037,AL,Coosa County,CI90LBALL_2019,1328
1037,AL,Coosa County,CI90UBALL_2019,2250
1037,AL,Coosa County,PCTPOVALL_2019,17.1
1037,AL,Coosa County,CI90LBALLP_2019,12.7
1037,AL,Coosa County,CI90UBALLP_2019,21.5
1037,AL,Coosa County,POV017_2019,478
1037,AL,Coosa County,CI90LB017_2019,319
1037,AL,Coosa County,CI90UB017_2019,637
1037,AL,Coosa County,PCTPOV017_2019,27.8
1037,AL,Coosa County,CI90LB017P_2019,18.6
1037,AL,Coosa County,CI90UB017P_2019,37
1037,AL,Coosa County,POV517_2019,339
1037,AL,Coosa County,CI90LB517_2019,215
1037,AL,Coosa County,CI90UB517_2019,463
1037,AL,Coosa County,PCTPOV517_2019,26.9
1037,AL,Coosa County,CI90LB517P_2019,17.1
1037,AL,Coosa County,CI90UB517P_2019,36.7
1037,AL,Coosa County,MEDHHINC_2019,42024
1037,AL,Coosa County,CI90LBINC_2019,37473
1037,AL,Coosa County,CI90UBINC_2019,46575
1039,AL,Covington County,Rural-urban_Continuum_Code_2003,7
1039,AL,Covington County,Urban_Influence_Code_2003,9
1039,AL,Covington County,Rural-urban_Continuum_Code_2013,6
1039,AL,Covington County,Urban_Influence_Code_2013,6
