FIPS,State,County,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,ForeignBornNum,TotalPopACS,ForeignBornAfricaPct,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,Ed1LessThanHSNum,TotalPop25Plus,Ed5CollegePlusNum,TotalOccHU,ForeignBornAsiaPct,Ed4AssocDegreeNum,ForeignBornEuropeNum,NonEnglishHHNum,HH65PlusAloneNum,OwnHomeNum,FemaleHHNum,TotalHH,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaNum,ForeignBornAsiaNum,ForeignBornMexNum,LandAreaSQMiles2010,Age65AndOlderNum2010,TotalPop2010,Under18Num2010,Net_International_Migration_2000_2010,NaturalChangeNum0010,NetMigrationNum0010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,TotalPopEst2011,Net_International_Migration_2010_2019,NaturalChange1019,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,NetMigration1019,TotalPopEst2018,TotalPopEstBase2010
01017,AL,Chambers,-1.03,-2.544,33254,-0.999,-1.544,0.475,-6.47,-4.84,-1.17,0.664460912,57.36,22.51,16.68,58.14,38.60,0.49,0.17,1.57,1.13,-10.03,-4.80,144.12,16.33,91.43,84.21,19893,13206,166,57,536,385,1.389463726,0.088689174,0.245373381,0.569695176,18.6004074,38.44848073,21.15515193,8.563911051,13.23204889,2.46,15.99585676,12.83663806,67.7641314,470,33826,0.079820257,4985,9060,4383,23564,3118,13516,0.957843079,2018,30,77,1735,9159,2162,13516,0.245373381,83,0.017737835,6,27,324,83,596.53,5706,34215,7703,243,-428,-1771.5,34104,34139,34122,33977,34033,162,-527,33996,33745,33707,-341,33600,34169
01019,AL,Cherokee,0.7,0.897,26196,4.634,-3.736,0,8.34,3.53,-1.03,0.731067233,46.94,21.42,17.90,92.07,4.64,0.19,0.47,1.23,1.49,7.96,-9.12,53.13,64.86,56.86,95.45,23929,1206,49,122,320,387,0.792944726,0.061888369,0.274629637,0.744861399,19.77186312,38.32806726,21.42665881,7.583141434,12.89026937,2.41,9.607769187,12.03092589,78.95530832,205,25853,0,4001,7157,3692,18673,2407,10606,0.162456968,1416,16,79,1276,8374,1019,10606,0.371330213,96,0,0,0,42,71,553.70,4651,25989,5566,175.5,-246.5,847.5,25958,26017,25963,25895,25989,0,-970,25732,25768,25805,1203,26014,25979
01021,AL,Chilton,0.6,1.775,44428,0.568,1.207,0.545,10.23,6.05,3.02,1.377296539,62.99,25.11,13.57,81.10,9.56,0.29,0.31,7.84,1.16,4.42,0.97,92.31,20.72,196.88,84.00,35395,4171,125,134,3420,506,4.484407011,0.421124516,3.314363761,1.88645454,17.79612661,44.05397241,16.97378579,7.015070654,14.16104454,2.6,14.00513402,12.82908483,74.84926273,1970,43930,0.006829046,5057,13125,5302,29793,4219,16751,0.298201684,2090,185,316,2149,12538,2346,16751,3.758251764,1651,0,0,3,131,1456,692.85,5921,43643,10960,549.5,1205,2414,43582,43628,43653,43760,43689,238,527,43700,43866,44120,248,44163,43632
01023,AL,Choctaw,-1.901,-9.098,12589,-6.463,-2.636,-0.123,-12.96,-12.42,-0.04,1.001574803,15.17,22.66,18.18,55.56,43.22,0.09,0.13,0.53,0.42,-11.74,-14.24,100.00,-25.00,-31.78,-13.43,7700,5990,12,18,73,58,0.497131931,0,0.022944551,0,18.58838491,38.21534549,19.33022467,10.88384909,12.98219585,2.41,18.09345794,13.58878505,79.68224299,65,13075,0,1824,3606,1754,9436,1225,5350,0.13001912,1027,0,0,727,4263,968,5350,0.137667304,18,0,0,0,17,3,913.50,2519,13859,3141,159,-6.5,-1972,13563,13397,13849,13317,13609,-17,-365,13231,13045,12925,-895,12833,13858
01025,AL,Clarke,-1.238,-8.321,23622,-7.56,-0.761,-0.07,-7.30,-8.65,1.96,0.161759948,20.86,24.73,16.16,53.97,43.67,0.29,0.37,1.05,0.68,-10.16,-5.35,64.44,57.38,50.56,29.41,13943,11280,74,96,271,176,0.38135072,0.077910362,0.032804363,0.245779013,18.82039123,43.69887374,17.13692946,7.788974511,12.55483106,2.57,11.92562513,12.36375294,67.47168198,93,24387,0.049206544,2891,7372,3175,16870,2118,9358,0.217328905,1314,19,23,1157,6314,1116,9358,0.036904908,9,0,0,12,53,8,1238.46,4174,25833,6389,45,544.5,-2405,25155,25123,25766,24864,25587,-18,-196,24698,24340,24063,-1948,23918,25833
01027,AL,Clay,-0.444,-4.77,13235,-2.151,-2.619,-0.065,-2.26,-3.67,-1.38,0.483769193,23.07,22.57,17.58,80.29,14.70,0.17,0.39,2.86,1.69,-3.70,-7.71,91.67,25.00,57.71,109.82,11186,2048,23,55,399,235,1.95096427,0.156974137,1.016594409,0.477463713,24.50188476,36.25201939,19.46149704,9.617662897,10.16693592,2.51,14.64858671,12.89152024,72.36440031,261,13378,0,1807,3366,2275,9285,944,5236,0.13454926,893,21,25,675,3789,767,5236,1.629541038,218,0.029899836,4,0,18,136,603.96,2449,13932,3144,69,-197.5,-523,13434,13404,13898,13441,13687,-9,-364,13415,13393,13350,-299,13294,13930
01029,AL,Cleburne,-0.666,-0.626,14910,-0.087,-0.54,-0.44,6.01,4.17,0.65,0.864380469,26.73,23.72,15.77,93.21,3.30,0.15,0.33,2.05,1.07,5.45,-5.18,21.05,21.95,55.05,46.79,13956,494,23,50,307,160,1.506225733,0.153969742,1.030927835,0.331819769,22.63283868,39.58831977,19.42556247,4.681665869,13.67161321,2.58,9.081383165,14.47782047,75.65490744,225,14938,0.160664078,2029,4135,2364,10445,1428,5726,0.02008301,489,23,19,829,4332,520,5726,1.138037221,170,0.026777346,4,24,3,154,560.10,2361,14972,3551,122.5,91.5,591,14889,14976,15004,15026,14928,-66,-81,14914,14848,14899,-13,15010,14972
01031,AL,Coffee,0.755,4.25,52342,2.235,2.016,1.562,14.52,10.39,3.10,0.733134465,73.56,24.19,14.44,72.34,16.53,1.26,1.21,6.37,2.50,9.59,3.86,53.79,55.96,168.81,70.82,36134,8257,629,602,3180,1247,3.58758384,0.818905007,1.060676961,1.475567234,13.84337764,27.85002291,23.25561412,11.63496792,23.41601742,2.56,13.19925211,10.98590126,64.79357219,1840,51288,0,8119,9723,4833,34912,8175,19789,0.990485104,4062,420,292,2174,12822,2612,19789,1.651458431,847,0.062392762,32,0,508,544,678.97,7210,49948,12084,319.5,1350,4527,51141,50681,50208,50657,50444,784,1012,50963,51202,51853,1122,51950,49955
01033,AL,Colbert,0.431,1.315,55241,2.914,-1.599,0.781,-1.01,0.28,-0.38,0.4018401,91.84,22.11,17.39,79.62,15.99,0.41,0.48,2.01,1.55,-2.55,-4.33,76.38,34.36,76.86,73.51,43334,8702,224,262,1093,845,1.660702817,0.137627305,0.570694559,0.311940915,15.57016409,36.04482634,22.28635023,7.370981935,18.72767742,2.48,12.51433552,12.44552502,72.70516996,905,54495,0.064226076,8611,13927,6016,38638,7236,21799,0.434902285,2848,75,68,2713,15849,2728,21799,0.981741444,535,0,0,35,237,311,592.62,9463,54428,12034,221,-210,152,54570,54529,54524,54462,54539,426,-872,54417,54497,54695,1589,55004,54428
01035,AL,Conecuh,-1.83,-8.832,12067,-6.392,-2.44,0.053,-6.11,-8.24,-0.09,0.249376559,15.56,23.00,17.86,51.13,46.28,0.13,0.33,1.22,1.00,-12.84,0.51,6.25,62.96,57.84,57.14,6764,6122,17,44,161,132,0.711203452,0.175803101,0.1278568,0.087450809,19.24728752,48.76808318,13.08770344,8.171338156,10.7255877,2.73,20.15741146,16.39702667,76.60690861,89,12514,0,1158,4315,1703,8848,949,4574,0.191785201,723,22,4,750,3504,922,4574,0.271695701,34,0.07191945,9,0,24,16,850.16,2362,13228,3042,35,-12.5,-1157,13046,12912,13236,12677,13195,7,-323,12678,12500,12431,-846,12292,13236
01037,AL,Coosa,0.188,-9.482,10663,-6.053,-3.43,0.645,-5.43,-11.14,-1.91,-0.029550827,17.73,20.54,17.07,65.90,30.82,0.12,0.35,1.99,0.89,-1.78,-14.25,180.00,2.56,45.57,-3.74,7604,3556,14,40,230,103,0.469829572,0.018424689,0,0.170606873,20.35236938,38.61482382,22.84325638,6.609963548,11.57958688,2.55,12.77114307,16.13453571,81.98878869,51,10855,0,1880,3178,1675,8230,953,4103,0,544,2,7,662,3364,524,4103,0,0,0.442192538,48,0,0,0,650.93,1970,11539,2370,-3.5,-226,-1319,11346,11254,11780,11037,11486,76,-404,10934,10819,10724,-713,10643,11756
01039,AL,Covington,0.26,-2.01,37049,-0.116,-1.894,-0.071,0.36,0.13,-1.31,0.495814896,36.65,22.57,18.37,84.08,12.41,0.39,0.52,1.28,1.38,-1.54,1.45,131.25,8.89,65.41,124.03,31751,4685,148,196,483,522,0.744290648,0.307890016,0.096382962,0.26652452,17.13442772,35.43384522,22.39579393,10.08775248,14.94818065,2.44,13.63939232,14.61220682,74.0271855,278,37351,0,5921,9368,4530,26438,3952,15008,0.219538968,2667,115,40,2193,11110,2047,15008,0.174024792,65,0.042836872,16,0,82,36,1030.46,6939,37765,8523,186,-490,49,37805,37814,37809,37760,38020,-27,-716,37556,37382,37062,-44,36953,37762
01041,AL,Crenshaw,-0.383,-0.699,13772,1.125,-1.824,0.317,1.76,1.92,-0.26,0.018258837,22.84,23.79,15.89,72.06,23.31,1.36,0.40,1.47,1.45,-0.22,-3.80,1160.00,9.80,134.48,112.63,10020,3241,189,56,204,202,1.947349441,0.014424811,0.95924991,1.174129353,21.6124031,38.79069767,17.30232558,6.739018088,15.55555556,2.73,16.27860697,14.96517413,73.81094527,270,13865,0,1674,3753,2091,9675,1505,5025,0.86548864,652,2,59,752,3709,818,5025,1.06743599,148,0,0,0,120,133,608.84,2210,13906,3308,2.5,-35,263,13915,13847,13869,13851,13894,44,-253,13850,13916,13858,156,13825,13893
01043,AL,Cullman,0.42,4.117,83768,4.159,-0.042,0.403,3.77,5.02,1.27,1.377254011,109.42,23.18,15.93,92.74,1.02,0.42,0.49,4.30,1.11,0.85,13.09,149.26,43.32,104.62,11.82,74568,821,339,397,3454,889,2.411526733,0.295214608,1.384957419,0.501138952,18.18674404,35.62539327,21.96042788,10.47857093,13.74886387,2.64,10.20175724,12.88968435,74.58184185,1985,82313,0,12564,20382,10405,57212,7866,30730,0.394834352,5995,243,154,3961,22919,3135,30730,1.668023277,1373,0.025512374,21,0,325,1140,734.84,12810,80406,18641,1067,984.5,3886.5,80279,80690,80456,81068,80410,324,-34,81761,82450,82867,3346,83418,80406
01045,AL,Dale,0.059,-2.425,49172,-5.251,2.826,1.302,2.28,-7.90,6.04,0.129264718,89.55,24.83,13.45,71.05,19.00,1.05,0.67,5.61,2.99,-0.18,-3.60,1.74,18.25,71.80,42.79,35705,9546,527,337,2821,1505,3.323520455,0.663891991,1.134910161,1.098018211,14.17530406,32.72422263,26.12186208,9.933497094,17.04511413,2.57,14.99732191,10.83556508,60.1981789,1637,49255,0,8720,10924,4732,33382,5690,18670,0.927824586,3316,327,205,2023,11239,2800,18670,1.646533347,811,0.040605015,20,0,457,559,561.15,6759,50251,12477,63.5,2966,-3881,50289,49771,50394,49414,50122,656,1424,49365,49362,49342,-2646,49143,50251
01047,AL,Dallas,-2.867,-15.182,37196,-14.655,-0.527,0.014,-5.49,-13.22,3.00,0.072513962,44.77,26.46,14.07,28.93,69.18,0.33,0.18,0.71,0.68,-22.79,3.81,-8.28,65.96,6.55,17.25,12676,30314,144,78,309,299,1.319043693,0.157385895,0.312273602,0.030607248,19.30451128,35.21804511,20.09774436,10.26315789,15.11654135,2.41,24.61434868,12.87952987,59.78819785,528,40029,0.08493842,5346,9368,5135,26600,4021,16336,0.46216493,2730,63,5,2104,9767,4021,16336,0.44217942,177,0.137400385,55,34,185,125,978.69,6165,43820,11595,33.5,1386.5,-6109.5,42789,41976,43854,41554,43251,6,-231,40936,40080,39238,-6427,38294,43813
01049,AL,DeKalb,0.148,0.492,71513,-0.181,0.673,0.701,10.33,4.18,4.33,3.237432328,91.51,25.83,13.89,81.56,1.45,0.23,1.22,13.63,2.21,-0.75,-3.29,58.10,80.96,170.82,51.20,57997,1029,166,865,9690,1574,7.478932584,0.095505618,3.751404494,2.39935711,25.88770992,33.32776339,18.6231097,9.451499708,12.70991729,2.69,12.06183989,11.57201898,71.19240778,5325,71200,0.007022472,8916,15956,12394,47876,6085,26132,0.196629213,4525,68,627,3024,18604,3152,26132,7.019662921,4998,0.066011236,47,5,140,2671,777.09,9875,71109,18366,2093,2796.5,2703,70944,70912,71163,70993,71365,499,479,71087,71104,71437,-129,71407,71120
01051,AL,Elmore,0.244,2.083,81209,0.043,2.04,0.479,20.39,15.60,5.78,0.088422007,128.22,23.59,11.90,74.96,19.94,0.65,0.34,2.68,1.44,18.01,17.10,121.55,-1.10,164.47,67.01,59449,15814,514,269,2129,1144,1.780525046,0.275821307,0.597202384,0.569605051,13.61932603,32.82698757,19.6972686,9.350956796,24.505461,2.63,12.82297636,10.11906804,73.70552105,1446,81212,0.045559769,10983,18304,7594,55759,13664,29143,0.636605428,5214,224,166,2949,21480,3737,29143,0.732650347,595,0.020932867,17,37,517,485,618.48,9436,79303,18707,58.5,3826.5,10318,80193,80536,79552,80538,79993,381,1623,80872,81204,81422,34,81011,79272
01053,AL,Escambia,0.298,-4.465,36633,-3.701,-0.764,0,-0.31,-3.97,1.80,0.318330072,40.55,22.65,15.17,61.35,31.74,0.22,3.32,1.87,1.51,-4.34,3.08,-7.53,10.49,89.45,33.64,23508,12162,86,1274,718,580,0.97781826,0.04554222,0.546506644,0.610664284,18.45561333,44.46755247,17.31561718,7.101867899,12.65934912,2.57,14.36550492,15.84748287,68.78909741,365,37328,0.026789541,4496,11546,4792,25965,3287,13428,0.316116588,1844,17,82,2128,9237,1929,13428,0.570617231,213,0.018752679,7,10,118,204,945.08,5812,38319,8679,122,689,-1521.5,38023,37765,38345,37735,38204,0,-293,37661,37475,36993,-1419,36524,38320
01055,AL,Etowah,-0.334,-2.097,102268,-0.284,-1.813,0.252,0.94,1.65,-0.65,1.100342738,195.20,22.97,15.81,79.28,15.05,0.63,0.36,3.30,1.48,-2.51,3.94,53.50,13.07,95.52,60.44,82789,15716,657,372,3447,1545,2.892004002,0.121431139,0.704300605,0.634396678,15.48301965,32.87033822,25.02396,8.889506216,17.73317591,2.62,13.8484153,14.19655982,71.90344792,2977,102939,0.337092841,18016,23665,11147,71995,12767,38777,0.716929444,6400,125,246,5505,27882,5370,38777,1.535861044,1581,0.086458971,89,347,738,725,534.99,16508,104430,23986,1136.5,-672,1700.5,104278,103884,104459,103399,104369,263,-1894,102998,102855,103007,-297,102611,104429
01057,AL,Fayette,-0.87,-5.38,16302,-2.316,-3.065,0.133,-6.78,-4.71,-1.66,0.291702679,27.47,22.26,17.89,86.03,11.36,0.21,0.27,1.18,0.99,-7.27,-10.96,32.14,34.29,34.21,80.00,14832,1958,37,47,204,171,0.916490805,0.054265903,0,0.15834173,17.58129214,41.54647094,21.21703508,6.716736366,12.93846548,2.34,10.4793436,12.37944436,77.90413128,152,16585,0,2486,4868,2060,11717,1516,6947,0.675309014,787,9,11,860,5412,728,6947,0.186915888,31,0,0,0,112,0,627.66,3084,17241,3837,54,-307,-871.5,16945,16824,17229,16772,17052,23,-528,16696,16563,16466,-399,16445,17235
01059,AL,Franklin,0.204,-1.21,31362,-2.29,1.08,1.484,1.54,-2.38,2.46,4.745214775,50.02,24.81,15.22,79.64,3.82,0.16,0.38,14.86,1.67,-7.40,-7.35,59.38,39.08,103.37,77.26,25249,1211,51,121,4710,530,9.254327563,0.114133536,4.067592416,3.371989295,23.23178935,36.83451855,18.73918893,8.322121853,12.87238132,2.79,13.38983051,14.91525424,70.56199822,2919,31542,0,3900,7666,4835,20812,2679,11210,0.459704521,1732,36,378,1672,7910,1501,11210,8.483926194,2676,0.183881808,58,0,145,1283,633.82,4825,31704,7867,1482.5,767,-743.5,31690,31553,31746,31559,31776,471,343,31515,31611,31542,-727,31298,31709
01061,AL,Geneva,-0.133,-1.89,26271,0.082,-1.972,-0.246,3.98,1.72,-0.40,0.304972805,46.64,22.36,17.45,84.70,9.42,0.24,0.74,3.43,1.55,2.30,-7.41,100.00,5.35,103.09,124.86,22692,2523,64,197,920,416,1.532595976,0.241591484,0.736099053,0.14314343,20.92160447,37.22980966,21.20120443,9.554790838,11.0925906,2.5,12.78747972,12.18627732,70.80828323,406,26491,0,3943,6924,3891,18598,2063,10479,0.339738024,1777,64,15,1277,7420,1340,10479,0.80027179,212,0.150994677,40,0,90,195,574.41,4674,26790,5991,78.5,-104,443.5,26924,26677,26777,26593,26756,-66,-528,26631,26494,26385,22,26306,26781
01063,AL,Greene,-1.194,-9.788,8111,-8.931,-0.856,0.011,-9.31,-14.16,1.85,0.065643304,13.98,24.26,16.08,17.27,81.25,0.17,0.12,0.76,0.48,-17.70,-7.72,87.50,-8.33,18.97,59.26,1562,7349,15,11,69,43,0.09494422,0,0,0,24.10423453,36.84210526,21.46408366,7.491856678,10.09771987,2.83,18.24027073,19.2893401,68.73096447,8,8426,0.023736055,1252,2149,1406,5833,589,2955,0,437,0,0,570,2031,539,2955,0,0,0.071208165,6,2,0,0,647.11,1454,9045,2194,6.5,183.5,-1402.5,8848,8748,8991,8584,8903,1,-77,8508,8482,8310,-803,8209,9039
