FIPS,State,County,variable,value
15000,Hawaii,Hawaii,BlackNonHispanicPct2010,1.46
16000,Idaho,Idaho,BlackNonHispanicPct2010,0.57
17000,Illinois,Illinois,BlackNonHispanicPct2010,14.29
18000,Indiana,Indiana,BlackNonHispanicPct2010,8.98
19000,Iowa,Iowa,BlackNonHispanicPct2010,2.85
20000,Kansas,Kansas,BlackNonHispanicPct2010,5.7
21000,Kentucky,Kentucky,BlackNonHispanicPct2010,7.68
22000,Louisiana,Louisiana,BlackNonHispanicPct2010,31.82
23000,Maine,Maine,BlackNonHispanicPct2010,1.14
24000,Maryland,Maryland,BlackNonHispanicPct2010,29.0
25000,Massachusetts,Massachusetts,BlackNonHispanicPct2010,5.98
26000,Michigan,Michigan,BlackNonHispanicPct2010,14.0
27000,Minnesota,Minnesota,BlackNonHispanicPct2010,5.07
28000,Mississippi,Mississippi,BlackNonHispanicPct2010,36.85
29000,Missouri,Missouri,BlackNonHispanicPct2010,11.47
30000,Montana,Montana,BlackNonHispanicPct2010,0.38
31000,Nebraska,Nebraska,BlackNonHispanicPct2010,4.43
32000,Nevada,Nevada,BlackNonHispanicPct2010,7.7
33000,New Hampshire,New Hampshire,BlackNonHispanicPct2010,1.03
34000,New Jersey,New Jersey,BlackNonHispanicPct2010,12.8
35000,New Mexico,New Mexico,BlackNonHispanicPct2010,1.72
36000,New York,New York,BlackNonHispanicPct2010,14.37
37000,North Carolina,North Carolina,BlackNonHispanicPct2010,21.18
38000,North Dakota,North Dakota,BlackNonHispanicPct2010,1.15
39000,Ohio,Ohio,BlackNonHispanicPct2010,12.04
40000,Oklahoma,Oklahoma,BlackNonHispanicPct2010,7.25
41000,Oregon,Oregon,BlackNonHispanicPct2010,1.7
42000,Pennsylvania,Pennsylvania,BlackNonHispanicPct2010,10.45
44000,Rhode Island,Rhode Island,BlackNonHispanicPct2010,4.9
45000,South Carolina,South Carolina,BlackNonHispanicPct2010,27.67
46000,South Dakota,South Dakota,BlackNonHispanicPct2010,1.22
47000,Tennessee,Tennessee,BlackNonHispanicPct2010,16.54
48000,Texas,Texas,BlackNonHispanicPct2010,11.48
49000,Utah,Utah,BlackNonHispanicPct2010,0.94
50000,Vermont,Vermont,BlackNonHispanicPct2010,0.95
51000,Virginia,Virginia,BlackNonHispanicPct2010,19.04
53000,Washington,Washington,BlackNonHispanicPct2010,3.41
54000,West Virginia,West Virginia,BlackNonHispanicPct2010,3.35
55000,Wisconsin,Wisconsin,BlackNonHispanicPct2010,6.17
56000,Wyoming,Wyoming,BlackNonHispanicPct2010,0.77
01000,Alabama,Alabama,AsianNonHispanicPct2010,1.11
02000,Alaska,Alaska,AsianNonHispanicPct2010,5.27
04000,Arizona,Arizona,AsianNonHispanicPct2010,2.67
05000,Arkansas,Arkansas,AsianNonHispanicPct2010,1.22
06000,California,California,AsianNonHispanicPct2010,12.82
08000,Colorado,Colorado,AsianNonHispanicPct2010,2.7
09000,Connecticut,Connecticut,AsianNonHispanicPct2010,3.75
10000,Delaware,Delaware,AsianNonHispanicPct2010,3.15
11000,District of Columbia,District of Columbia,AsianNonHispanicPct2010,3.46
12000,Florida,Florida,AsianNonHispanicPct2010,2.37
13000,Georgia,Georgia,AsianNonHispanicPct2010,3.22
15000,Hawaii,Hawaii,AsianNonHispanicPct2010,37.73
16000,Idaho,Idaho,AsianNonHispanicPct2010,1.18
17000,Illinois,Illinois,AsianNonHispanicPct2010,4.52
18000,Indiana,Indiana,AsianNonHispanicPct2010,1.56
19000,Iowa,Iowa,AsianNonHispanicPct2010,1.73
20000,Kansas,Kansas,AsianNonHispanicPct2010,2.35
21000,Kentucky,Kentucky,AsianNonHispanicPct2010,1.11
22000,Louisiana,Louisiana,AsianNonHispanicPct2010,1.53
23000,Maine,Maine,AsianNonHispanicPct2010,1.01
24000,Maryland,Maryland,AsianNonHispanicPct2010,5.49
25000,Massachusetts,Massachusetts,AsianNonHispanicPct2010,5.31
26000,Michigan,Michigan,AsianNonHispanicPct2010,2.39
27000,Minnesota,Minnesota,AsianNonHispanicPct2010,4.02
28000,Mississippi,Mississippi,AsianNonHispanicPct2010,0.86
29000,Missouri,Missouri,AsianNonHispanicPct2010,1.62
30000,Montana,Montana,AsianNonHispanicPct2010,0.62
31000,Nebraska,Nebraska,AsianNonHispanicPct2010,1.75
32000,Nevada,Nevada,AsianNonHispanicPct2010,7.07
33000,New Hampshire,New Hampshire,AsianNonHispanicPct2010,2.15
34000,New Jersey,New Jersey,AsianNonHispanicPct2010,8.19
35000,New Mexico,New Mexico,AsianNonHispanicPct2010,1.28
36000,New York,New York,AsianNonHispanicPct2010,7.26
37000,North Carolina,North Carolina,AsianNonHispanicPct2010,2.17
38000,North Dakota,North Dakota,AsianNonHispanicPct2010,1.02
39000,Ohio,Ohio,AsianNonHispanicPct2010,1.65
40000,Oklahoma,Oklahoma,AsianNonHispanicPct2010,1.71
41000,Oregon,Oregon,AsianNonHispanicPct2010,3.64
42000,Pennsylvania,Pennsylvania,AsianNonHispanicPct2010,2.73
44000,Rhode Island,Rhode Island,AsianNonHispanicPct2010,2.85
45000,South Carolina,South Carolina,AsianNonHispanicPct2010,1.26
46000,South Dakota,South Dakota,AsianNonHispanicPct2010,0.93
47000,Tennessee,Tennessee,AsianNonHispanicPct2010,1.42
48000,Texas,Texas,AsianNonHispanicPct2010,3.77
49000,Utah,Utah,AsianNonHispanicPct2010,1.96
50000,Vermont,Vermont,AsianNonHispanicPct2010,1.26
51000,Virginia,Virginia,AsianNonHispanicPct2010,5.45
53000,Washington,Washington,AsianNonHispanicPct2010,7.07
54000,West Virginia,West Virginia,AsianNonHispanicPct2010,0.66
55000,Wisconsin,Wisconsin,AsianNonHispanicPct2010,2.25
56000,Wyoming,Wyoming,AsianNonHispanicPct2010,0.76
01000,Alabama,Alabama,NativeAmericanNonHispanicPct2010,0.54
02000,Alaska,Alaska,NativeAmericanNonHispanicPct2010,14.44
04000,Arizona,Arizona,NativeAmericanNonHispanicPct2010,4.03
05000,Arkansas,Arkansas,NativeAmericanNonHispanicPct2010,0.69
06000,California,California,NativeAmericanNonHispanicPct2010,0.44
08000,Colorado,Colorado,NativeAmericanNonHispanicPct2010,0.62
09000,Connecticut,Connecticut,NativeAmericanNonHispanicPct2010,0.19
10000,Delaware,Delaware,NativeAmericanNonHispanicPct2010,0.31
11000,District of Columbia,District of Columbia,NativeAmericanNonHispanicPct2010,0.22
12000,Florida,Florida,NativeAmericanNonHispanicPct2010,0.25
13000,Georgia,Georgia,NativeAmericanNonHispanicPct2010,0.22
15000,Hawaii,Hawaii,NativeAmericanNonHispanicPct2010,0.21
16000,Idaho,Idaho,NativeAmericanNonHispanicPct2010,1.12
17000,Illinois,Illinois,NativeAmericanNonHispanicPct2010,0.15
18000,Indiana,Indiana,NativeAmericanNonHispanicPct2010,0.22
19000,Iowa,Iowa,NativeAmericanNonHispanicPct2010,0.28
20000,Kansas,Kansas,NativeAmericanNonHispanicPct2010,0.81
21000,Kentucky,Kentucky,NativeAmericanNonHispanicPct2010,0.2
22000,Louisiana,Louisiana,NativeAmericanNonHispanicPct2010,0.62
23000,Maine,Maine,NativeAmericanNonHispanicPct2010,0.62
24000,Maryland,Maryland,NativeAmericanNonHispanicPct2010,0.24
25000,Massachusetts,Massachusetts,NativeAmericanNonHispanicPct2010,0.16
26000,Michigan,Michigan,NativeAmericanNonHispanicPct2010,0.55
27000,Minnesota,Minnesota,NativeAmericanNonHispanicPct2010,1.04
28000,Mississippi,Mississippi,NativeAmericanNonHispanicPct2010,0.47
29000,Missouri,Missouri,NativeAmericanNonHispanicPct2010,0.4
30000,Montana,Montana,NativeAmericanNonHispanicPct2010,6.05
31000,Nebraska,Nebraska,NativeAmericanNonHispanicPct2010,0.81
32000,Nevada,Nevada,NativeAmericanNonHispanicPct2010,0.87
33000,New Hampshire,New Hampshire,NativeAmericanNonHispanicPct2010,0.2
34000,New Jersey,New Jersey,NativeAmericanNonHispanicPct2010,0.14
35000,New Mexico,New Mexico,NativeAmericanNonHispanicPct2010,8.52
36000,New York,New York,NativeAmericanNonHispanicPct2010,0.28
37000,North Carolina,North Carolina,NativeAmericanNonHispanicPct2010,1.14
38000,North Dakota,North Dakota,NativeAmericanNonHispanicPct2010,5.29
39000,Ohio,Ohio,NativeAmericanNonHispanicPct2010,0.18
40000,Oklahoma,Oklahoma,NativeAmericanNonHispanicPct2010,8.23
41000,Oregon,Oregon,NativeAmericanNonHispanicPct2010,1.11
42000,Pennsylvania,Pennsylvania,NativeAmericanNonHispanicPct2010,0.13
44000,Rhode Island,Rhode Island,NativeAmericanNonHispanicPct2010,0.38
45000,South Carolina,South Carolina,NativeAmericanNonHispanicPct2010,0.36
46000,South Dakota,South Dakota,NativeAmericanNonHispanicPct2010,8.53
47000,Tennessee,Tennessee,NativeAmericanNonHispanicPct2010,0.26
48000,Texas,Texas,NativeAmericanNonHispanicPct2010,0.32
49000,Utah,Utah,NativeAmericanNonHispanicPct2010,0.98
50000,Vermont,Vermont,NativeAmericanNonHispanicPct2010,0.32
51000,Virginia,Virginia,NativeAmericanNonHispanicPct2010,0.26
53000,Washington,Washington,NativeAmericanNonHispanicPct2010,1.32
54000,West Virginia,West Virginia,NativeAmericanNonHispanicPct2010,0.19
55000,Wisconsin,Wisconsin,NativeAmericanNonHispanicPct2010,0.85
56000,Wyoming,Wyoming,NativeAmericanNonHispanicPct2010,2.09
01000,Alabama,Alabama,HispanicPct2010,3.88
02000,Alaska,Alaska,HispanicPct2010,5.53
04000,Arizona,Arizona,HispanicPct2010,29.65
05000,Arkansas,Arkansas,HispanicPct2010,6.38
06000,California,California,HispanicPct2010,37.62
08000,Colorado,Colorado,HispanicPct2010,20.65
09000,Connecticut,Connecticut,HispanicPct2010,13.4
10000,Delaware,Delaware,HispanicPct2010,8.15
11000,District of Columbia,District of Columbia,HispanicPct2010,9.1
12000,Florida,Florida,HispanicPct2010,22.47
13000,Georgia,Georgia,HispanicPct2010,8.81
15000,Hawaii,Hawaii,HispanicPct2010,8.88
16000,Idaho,Idaho,HispanicPct2010,11.22
17000,Illinois,Illinois,HispanicPct2010,15.8
18000,Indiana,Indiana,HispanicPct2010,6.01
19000,Iowa,Iowa,HispanicPct2010,4.97
20000,Kansas,Kansas,HispanicPct2010,10.52
21000,Kentucky,Kentucky,HispanicPct2010,3.06
22000,Louisiana,Louisiana,HispanicPct2010,4.25
23000,Maine,Maine,HispanicPct2010,1.27
24000,Maryland,Maryland,HispanicPct2010,8.15
25000,Massachusetts,Massachusetts,HispanicPct2010,9.59
26000,Michigan,Michigan,HispanicPct2010,4.41
27000,Minnesota,Minnesota,HispanicPct2010,4.72
28000,Mississippi,Mississippi,HispanicPct2010,2.75
29000,Missouri,Missouri,HispanicPct2010,3.55
30000,Montana,Montana,HispanicPct2010,2.89
31000,Nebraska,Nebraska,HispanicPct2010,9.17
32000,Nevada,Nevada,HispanicPct2010,26.53
33000,New Hampshire,New Hampshire,HispanicPct2010,2.79
34000,New Jersey,New Jersey,HispanicPct2010,17.69
35000,New Mexico,New Mexico,HispanicPct2010,46.3
36000,New York,New York,HispanicPct2010,17.63
37000,North Carolina,North Carolina,HispanicPct2010,8.39
38000,North Dakota,North Dakota,HispanicPct2010,2.0
39000,Ohio,Ohio,HispanicPct2010,3.07
40000,Oklahoma,Oklahoma,HispanicPct2010,8.85
41000,Oregon,Oregon,HispanicPct2010,11.75
42000,Pennsylvania,Pennsylvania,HispanicPct2010,5.67
44000,Rhode Island,Rhode Island,HispanicPct2010,12.41
45000,South Carolina,South Carolina,HispanicPct2010,5.1
46000,South Dakota,South Dakota,HispanicPct2010,2.72
47000,Tennessee,Tennessee,HispanicPct2010,4.57
48000,Texas,Texas,HispanicPct2010,37.62
49000,Utah,Utah,HispanicPct2010,12.97
50000,Vermont,Vermont,HispanicPct2010,1.47
51000,Virginia,Virginia,HispanicPct2010,7.9
53000,Washington,Washington,HispanicPct2010,11.24
54000,West Virginia,West Virginia,HispanicPct2010,1.2
55000,Wisconsin,Wisconsin,HispanicPct2010,5.91
56000,Wyoming,Wyoming,HispanicPct2010,8.91
01000,Alabama,Alabama,Under18Pct2010,23.69
02000,Alaska,Alaska,Under18Pct2010,26.38
04000,Arizona,Arizona,Under18Pct2010,25.49
05000,Arkansas,Arkansas,Under18Pct2010,24.4
06000,California,California,Under18Pct2010,24.95
08000,Colorado,Colorado,Under18Pct2010,24.37
09000,Connecticut,Connecticut,Under18Pct2010,22.86
10000,Delaware,Delaware,Under18Pct2010,22.92
11000,District of Columbia,District of Columbia,Under18Pct2010,16.75
12000,Florida,Florida,Under18Pct2010,21.29
13000,Georgia,Georgia,Under18Pct2010,25.72
15000,Hawaii,Hawaii,Under18Pct2010,22.33
16000,Idaho,Idaho,Under18Pct2010,27.37
17000,Illinois,Illinois,Under18Pct2010,24.39
18000,Indiana,Indiana,Under18Pct2010,24.8
19000,Iowa,Iowa,Under18Pct2010,23.9
20000,Kansas,Kansas,Under18Pct2010,25.48
21000,Kentucky,Kentucky,Under18Pct2010,23.58
22000,Louisiana,Louisiana,Under18Pct2010,24.66
23000,Maine,Maine,Under18Pct2010,20.67
24000,Maryland,Maryland,Under18Pct2010,23.43
25000,Massachusetts,Massachusetts,Under18Pct2010,21.67
26000,Michigan,Michigan,Under18Pct2010,23.72
27000,Minnesota,Minnesota,Under18Pct2010,24.21
28000,Mississippi,Mississippi,Under18Pct2010,25.46
29000,Missouri,Missouri,Under18Pct2010,23.8
30000,Montana,Montana,Under18Pct2010,22.6
31000,Nebraska,Nebraska,Under18Pct2010,25.14
32000,Nevada,Nevada,Under18Pct2010,24.62
33000,New Hampshire,New Hampshire,Under18Pct2010,21.82
34000,New Jersey,New Jersey,Under18Pct2010,23.49
35000,New Mexico,New Mexico,Under18Pct2010,25.19
36000,New York,New York,Under18Pct2010,22.32
37000,North Carolina,North Carolina,Under18Pct2010,23.93
38000,North Dakota,North Dakota,Under18Pct2010,22.28
39000,Ohio,Ohio,Under18Pct2010,23.67
40000,Oklahoma,Oklahoma,Under18Pct2010,24.78
41000,Oregon,Oregon,Under18Pct2010,22.62
42000,Pennsylvania,Pennsylvania,Under18Pct2010,21.98
44000,Rhode Island,Rhode Island,Under18Pct2010,21.28
45000,South Carolina,South Carolina,Under18Pct2010,23.36
46000,South Dakota,South Dakota,Under18Pct2010,24.91
47000,Tennessee,Tennessee,Under18Pct2010,23.57
48000,Texas,Texas,Under18Pct2010,27.3
49000,Utah,Utah,Under18Pct2010,31.51
50000,Vermont,Vermont,Under18Pct2010,20.65
51000,Virginia,Virginia,Under18Pct2010,23.17
53000,Washington,Washington,Under18Pct2010,23.52
54000,West Virginia,West Virginia,Under18Pct2010,20.91
55000,Wisconsin,Wisconsin,Under18Pct2010,23.55
56000,Wyoming,Wyoming,Under18Pct2010,24.02
01000,Alabama,Alabama,Age65AndOlderPct2010,13.76
02000,Alaska,Alaska,Age65AndOlderPct2010,7.74
04000,Arizona,Arizona,Age65AndOlderPct2010,13.8
05000,Arkansas,Arkansas,Age65AndOlderPct2010,14.4
06000,California,California,Age65AndOlderPct2010,11.4
08000,Colorado,Colorado,Age65AndOlderPct2010,10.93
09000,Connecticut,Connecticut,Age65AndOlderPct2010,14.17
10000,Delaware,Delaware,Age65AndOlderPct2010,14.4
11000,District of Columbia,District of Columbia,Age65AndOlderPct2010,11.44
12000,Florida,Florida,Age65AndOlderPct2010,17.34
13000,Georgia,Georgia,Age65AndOlderPct2010,10.65
15000,Hawaii,Hawaii,Age65AndOlderPct2010,14.35
16000,Idaho,Idaho,Age65AndOlderPct2010,12.42
17000,Illinois,Illinois,Age65AndOlderPct2010,12.54
18000,Indiana,Indiana,Age65AndOlderPct2010,12.97
19000,Iowa,Iowa,Age65AndOlderPct2010,14.87
20000,Kansas,Kansas,Age65AndOlderPct2010,13.18
21000,Kentucky,Kentucky,Age65AndOlderPct2010,13.33
22000,Louisiana,Louisiana,Age65AndOlderPct2010,12.31
23000,Maine,Maine,Age65AndOlderPct2010,15.89
24000,Maryland,Maryland,Age65AndOlderPct2010,12.26
25000,Massachusetts,Massachusetts,Age65AndOlderPct2010,13.79
26000,Michigan,Michigan,Age65AndOlderPct2010,13.78
27000,Minnesota,Minnesota,Age65AndOlderPct2010,12.88
28000,Mississippi,Mississippi,Age65AndOlderPct2010,12.82
29000,Missouri,Missouri,Age65AndOlderPct2010,14.0
30000,Montana,Montana,Age65AndOlderPct2010,14.83
31000,Nebraska,Nebraska,Age65AndOlderPct2010,13.51
32000,Nevada,Nevada,Age65AndOlderPct2010,12.01
33000,New Hampshire,New Hampshire,Age65AndOlderPct2010,13.54
34000,New Jersey,New Jersey,Age65AndOlderPct2010,13.49
35000,New Mexico,New Mexico,Age65AndOlderPct2010,13.22
36000,New York,New York,Age65AndOlderPct2010,13.51
37000,North Carolina,North Carolina,Age65AndOlderPct2010,12.94
38000,North Dakota,North Dakota,Age65AndOlderPct2010,14.49
39000,Ohio,Ohio,Age65AndOlderPct2010,14.06
40000,Oklahoma,Oklahoma,Age65AndOlderPct2010,13.51
41000,Oregon,Oregon,Age65AndOlderPct2010,13.93
42000,Pennsylvania,Pennsylvania,Age65AndOlderPct2010,15.42
44000,Rhode Island,Rhode Island,Age65AndOlderPct2010,14.43
45000,South Carolina,South Carolina,Age65AndOlderPct2010,13.66
46000,South Dakota,South Dakota,Age65AndOlderPct2010,14.32
47000,Tennessee,Tennessee,Age65AndOlderPct2010,13.45
48000,Texas,Texas,Age65AndOlderPct2010,10.35
49000,Utah,Utah,Age65AndOlderPct2010,9.03
50000,Vermont,Vermont,Age65AndOlderPct2010,14.56
51000,Virginia,Virginia,Age65AndOlderPct2010,12.21
53000,Washington,Washington,Age65AndOlderPct2010,12.31
54000,West Virginia,West Virginia,Age65AndOlderPct2010,16.05
55000,Wisconsin,Wisconsin,Age65AndOlderPct2010,13.67
56000,Wyoming,Wyoming,Age65AndOlderPct2010,12.44
01000,Alabama,Alabama,MedHHInc,49881.0
02000,Alaska,Alaska,MedHHInc,74912.0
04000,Arizona,Arizona,MedHHInc,59079.0
05000,Arkansas,Arkansas,MedHHInc,47094.0
06000,California,California,MedHHInc,75250.0
08000,Colorado,Colorado,MedHHInc,71949.0
09000,Connecticut,Connecticut,MedHHInc,76366.0
10000,Delaware,Delaware,MedHHInc,65467.0
11000,District of Columbia,District of Columbia,MedHHInc,82533.0
12000,Florida,Florida,MedHHInc,55433.0
13000,Georgia,Georgia,MedHHInc,58634.0
15000,Hawaii,Hawaii,MedHHInc,80527.0
16000,Idaho,Idaho,MedHHInc,55524.0
17000,Illinois,Illinois,MedHHInc,65063.0
18000,Indiana,Indiana,MedHHInc,55725.0
19000,Iowa,Iowa,MedHHInc,60071.0
20000,Kansas,Kansas,MedHHInc,58150.0
21000,Kentucky,Kentucky,MedHHInc,50189.0
22000,Louisiana,Louisiana,MedHHInc,48021.0
23000,Maine,Maine,MedHHInc,55579.0
24000,Maryland,Maryland,MedHHInc,83076.0
25000,Massachusetts,Massachusetts,MedHHInc,79817.0
26000,Michigan,Michigan,MedHHInc,56640.0
27000,Minnesota,Minnesota,MedHHInc,70295.0
28000,Mississippi,Mississippi,MedHHInc,44740.0
29000,Missouri,Missouri,MedHHInc,54412.0
30000,Montana,Montana,MedHHInc,55248.0
31000,Nebraska,Nebraska,MedHHInc,59724.0
32000,Nevada,Nevada,MedHHInc,58740.0
33000,New Hampshire,New Hampshire,MedHHInc,75322.0
34000,New Jersey,New Jersey,MedHHInc,81777.0
35000,New Mexico,New Mexico,MedHHInc,47405.0
36000,New York,New York,MedHHInc,67648.0
37000,North Carolina,North Carolina,MedHHInc,53922.0
38000,North Dakota,North Dakota,MedHHInc,65250.0
39000,Ohio,Ohio,MedHHInc,56155.0
40000,Oklahoma,Oklahoma,MedHHInc,51914.0
41000,Oregon,Oregon,MedHHInc,63168.0
42000,Pennsylvania,Pennsylvania,MedHHInc,60891.0
44000,Rhode Island,Rhode Island,MedHHInc,63787.0
45000,South Carolina,South Carolina,MedHHInc,52449.0
46000,South Dakota,South Dakota,MedHHInc,57041.0
47000,Tennessee,Tennessee,MedHHInc,52366.0
48000,Texas,Texas,MedHHInc,60632.0
49000,Utah,Utah,MedHHInc,71381.0
50000,Vermont,Vermont,MedHHInc,60917.0
51000,Virginia,Virginia,MedHHInc,72600.0
53000,Washington,Washington,MedHHInc,74023.0
54000,West Virginia,West Virginia,MedHHInc,44038.0
55000,Wisconsin,Wisconsin,MedHHInc,60779.0
56000,Wyoming,Wyoming,MedHHInc,62259.0
72000,Puerto Rico,Puerto Rico,MedHHInc,
01000,Alabama,Alabama,prop_gop_vote,0.620316431668648
02000,Alaska,Alaska,prop_gop_vote,0.5283314327038078
04000,Arizona,Arizona,prop_gop_vote,0.4905598103046474
05000,Arkansas,Arkansas,prop_gop_vote,0.6239572985614432
06000,California,California,prop_gop_vote,0.3432072362528492
